Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
ERROR   08/Mar/2022:01:13:51.390 [0098:cfad2662a500e0541c25c45b] The message [Id-cfad2662a500e0541c25c45b] logged Failure at 03.08.2022 01:13:51,390 with log description: Filter failed
ERROR   08/Mar/2022:01:13:56.390 [009c:d4ad2662aa00994804f9875e] The message [Id-d4ad2662aa00994804f9875e] logged Failure at 03.08.2022 01:13:56,390 with log description: Filter failed
ERROR   08/Mar/2022:01:14:01.388 [009c:d9ad2662ac007492c8d77277] The message [Id-d9ad2662ac007492c8d77277] logged Failure at 03.08.2022 01:14:01,388 with log description: Filter failed
ERROR   08/Mar/2022:01:14:06.389 [009d:dead2662ad000f6e64ec4f92] The message [Id-dead2662ad000f6e64ec4f92] logged Failure at 03.08.2022 01:14:06,389 with log description: Filter failed
ERROR   08/Mar/2022:01:14:11.392 [0098:e3ad2662b200e1313b30b380] The message [Id-e3ad2662b200e1313b30b380] logged Failure at 03.08.2022 01:14:11,392 with log description: Filter failed
ERROR   08/Mar/2022:01:14:16.385 [009b:e8ad2662b40050928d02eb7f] The message [Id-e8ad2662b40050928d02eb7f] logged Failure at 03.08.2022 01:14:16,385 with log description: Filter failed
ERROR   08/Mar/2022:01:14:21.389 [009b:edad2662b500b57ccdd5bc85] The message [Id-edad2662b500b57ccdd5bc85] logged Failure at 03.08.2022 01:14:21,389 with log description: Filter failed
ERROR   08/Mar/2022:01:14:26.386 [0079:f2ad2662ba005860dbd92d42] The message [Id-f2ad2662ba005860dbd92d42] logged Failure at 03.08.2022 01:14:26,386 with log description: Filter failed
ERROR   08/Mar/2022:01:14:31.390 [005f:f7ad2662bc0007837a4ca997] The message [Id-f7ad2662bc0007837a4ca997] logged Failure at 03.08.2022 01:14:31,390 with log description: Filter failed
ERROR   08/Mar/2022:01:14:36.389 [0061:fcad2662bd00a297378c1311] The message [Id-fcad2662bd00a297378c1311] logged Failure at 03.08.2022 01:14:36,389 with log description: Filter failed
ERROR   08/Mar/2022:01:14:41.386 [0094:01ae2662c2004be1ade092d3] The message [Id-01ae2662c2004be1ade092d3] logged Failure at 03.08.2022 01:14:41,386 with log description: Filter failed
ERROR   08/Mar/2022:01:14:46.389 [007d:06ae2662c400a12d143e35ac] The message [Id-06ae2662c400a12d143e35ac] logged Failure at 03.08.2022 01:14:46,388 with log description: Filter failed
ERROR   08/Mar/2022:01:14:51.386 [0096:0bae2662c500bc8bc380c162] The message [Id-0bae2662c500bc8bc380c162] logged Failure at 03.08.2022 01:14:51,386 with log description: Filter failed
ERROR   08/Mar/2022:01:14:56.388 [0088:10ae2662ca00d68fa792607f] The message [Id-10ae2662ca00d68fa792607f] logged Failure at 03.08.2022 01:14:56,387 with log description: Filter failed
ERROR   08/Mar/2022:01:15:01.389 [008a:15ae2662cc00c52bfe16fc90] The message [Id-15ae2662cc00c52bfe16fc90] logged Failure at 03.08.2022 01:15:01,389 with log description: Filter failed
ERROR   08/Mar/2022:01:15:06.388 [0057:1aae2662cd0005c2f989f9e1] The message [Id-1aae2662cd0005c2f989f9e1] logged Failure at 03.08.2022 01:15:06,386 with log description: Filter failed
ERROR   08/Mar/2022:01:15:06.391 [0055:1aae2662ce009ff3bd479270] The message [Id-1aae2662ce009ff3bd479270] logged Failure at 03.08.2022 01:15:06,390 with log description: Filter failed
ERROR   08/Mar/2022:01:15:11.386 [007c:1fae2662d100e2fe536dd66c] The message [Id-1fae2662d100e2fe536dd66c] logged Failure at 03.08.2022 01:15:11,386 with log description: Filter failed
ERROR   08/Mar/2022:01:15:16.390 [0080:24ae2662d500306ccc6119eb] The message [Id-24ae2662d500306ccc6119eb] logged Failure at 03.08.2022 01:15:16,390 with log description: Filter failed
ERROR   08/Mar/2022:01:15:21.389 [0084:29ae2662d600869b306c1f11] The message [Id-29ae2662d600869b306c1f11] logged Failure at 03.08.2022 01:15:21,388 with log description: Filter failed
ERROR   08/Mar/2022:01:15:26.390 [0081:2eae2662d900f4f566e8ab20] The message [Id-2eae2662d900f4f566e8ab20] logged Failure at 03.08.2022 01:15:26,389 with log description: Filter failed
